t_s,temp_c,sm_clk_mhz,power_w,util_pct,throttle_thermal,throttle_powercap,reasons_raw
35.635,82,135,55.3,0,0,0,1
35.696,82,135,55.3,0,0,0,1
35.757,82,135,55.3,0,0,0,1
35.814,82,135,55.4,0,0,0,1
35.875,82,135,55.3,0,0,0,1
35.938,82,135,55.3,0,0,0,1
35.998,82,135,55.3,0,0,0,1
36.058,82,135,55.3,0,0,0,1
36.116,82,135,55.3,0,0,0,1
36.178,82,135,55.4,0,0,0,1
36.236,82,135,55.3,0,0,0,1
36.299,82,135,55.3,0,0,0,1
36.359,82,135,55.3,0,0,0,1
36.424,82,135,55.3,0,0,0,1
36.48,82,135,55.3,0,0,0,1
36.54,82,135,55.3,0,0,0,1
36.599,82,135,55.3,0,0,0,1
36.658,82,135,55.4,0,0,0,1
36.722,82,135,55.3,0,0,0,1
36.779,82,135,55.3,0,0,0,1
36.849,82,135,55.3,0,0,0,1
36.903,82,135,55.3,0,0,0,1
36.964,82,135,55.3,0,0,0,1
37.023,82,135,55.4,0,0,0,1
37.082,82,135,55.3,0,0,0,1
37.145,82,135,55.4,0,0,0,1
37.202,82,135,55.3,0,0,0,1
37.268,82,135,55.3,0,0,0,1
37.328,82,135,55.2,0,0,0,1
37.383,82,135,55.3,0,0,0,1
37.448,82,135,55.3,0,0,0,1
37.509,82,135,55.3,0,0,0,1
37.569,82,135,55.3,0,0,0,1
37.63,82,135,55.3,0,0,0,1
37.688,82,135,55.4,0,0,0,1
37.746,82,135,55.3,0,0,0,1
37.816,82,135,55.4,0,0,0,1
37.87,82,135,55.3,0,0,0,1
37.929,82,135,55.3,0,0,0,1
37.989,82,135,55.3,0,0,0,1
38.046,82,135,55.3,0,0,0,1
38.114,82,135,55.2,0,0,0,1
38.168,82,135,55.3,0,0,0,1
38.227,82,135,55.3,0,0,0,1
38.286,82,135,55.2,0,0,0,1
38.355,82,135,55.3,0,0,0,1
38.41,82,135,55.3,0,0,0,1
38.469,82,135,55.3,0,0,0,1
38.531,82,135,55.3,0,0,0,1
38.588,82,135,55.4,0,0,0,1
38.651,82,135,55.3,0,0,0,1
38.71,82,135,55.3,0,0,0,1
38.778,82,135,55.3,0,0,0,1
38.832,82,135,55.2,0,0,0,1
38.893,82,135,55.3,0,0,0,1
38.953,82,135,55.3,0,0,0,1
39.013,82,135,55.3,0,0,0,1
39.074,82,135,55.3,0,0,0,1
39.134,82,135,55.3,0,0,0,1
39.201,82,135,55.3,0,0,0,1
39.254,82,135,55.3,0,0,0,1
39.312,82,135,55.3,0,0,0,1
39.385,82,135,55.4,0,0,0,1
39.438,82,135,55.4,0,0,0,1
39.492,82,135,55.3,0,0,0,1
39.554,82,135,55.3,0,0,0,1
39.614,82,135,55.2,0,0,0,1
39.674,82,135,55.3,0,0,0,1
39.743,82,135,55.2,0,0,0,1
39.796,82,135,55.2,0,0,0,1
39.857,82,135,55.3,0,0,0,1
39.918,82,135,55.3,0,0,0,1
39.979,82,135,55.3,0,0,0,1
40.039,82,135,55.3,0,0,0,1
40.097,82,135,55.4,0,0,0,1
40.159,82,135,55.3,0,0,0,1
40.219,82,135,55.3,0,0,0,1
40.28,82,135,55.3,0,0,0,1
40.354,82,135,55.3,0,0,0,1
40.408,82,135,55.3,0,0,0,1
40.464,82,135,55.3,0,0,0,1
40.528,82,135,55.3,0,0,0,1
40.586,82,135,55.3,0,0,0,1
40.64,82,135,55.3,0,0,0,1
40.7,82,135,55.2,0,0,0,1
40.762,82,135,55.4,0,0,0,1
40.82,82,135,55.4,0,0,0,1
40.88,82,135,55.4,0,0,0,1
40.942,82,135,55.2,0,0,0,1
41.002,82,135,55.2,0,0,0,1
41.061,82,135,55.3,0,0,0,1
41.122,82,135,55.2,0,0,0,1
41.185,82,135,55.3,0,0,0,1
41.244,82,135,55.3,0,0,0,1
41.304,82,135,55.3,0,0,0,1
41.365,82,135,55.3,0,0,0,1
41.426,82,135,55.3,0,0,0,1
41.485,82,135,55.3,0,0,0,1
41.546,82,135,55.3,0,0,0,1
41.604,82,135,55.3,0,0,0,1
41.664,82,135,55.3,0,0,0,1
41.728,82,135,55.3,0,0,0,1
41.786,82,135,55.4,0,0,0,1
41.847,82,135,55.3,0,0,0,1
41.908,82,135,55.4,0,0,0,1
41.969,82,135,55.3,0,0,0,1
42.027,82,135,55.3,0,0,0,1
42.088,82,135,55.3,0,0,0,1
42.149,82,135,55.3,0,0,0,1
42.209,82,135,55.3,0,0,0,1
42.279,82,135,55.3,0,0,0,1
42.332,82,135,55.4,0,0,0,1
